label,area,mean,sigma,median,min,max,count,centroidX,centroidY,centroidZ,bboxXStart,bboxXEnd,bboxYStart,bboxYEnd,bboxZStart,bboxZEnd
1,24.2472,1.15411,6.77709,0.0827461,-3.23279e-05,193.933,6096,15.9231,8.91031,20.2204,14.7558,17.0653,8.13593,10.2154,16.982,23.4569
2,19.7823,2.89676,18.7729,0.328042,-1.45491e-05,908.423,4956,16.1974,9.78317,14.4302,15.582,17.5496,8.39769,11.4341,11.9265,17.3462
3,18.2537,4.53991,24.1959,0.603774,-4.57818e-06,535.044,5006,15.0545,9.87444,16.0577,13.929,16.3561,8.53804,11.2494,14.2507,18.0902
4,2.80247,1.30323,2.99351,0.689201,0.000971413,98.0623,2162,17.3854,9.51876,12.6516,16.6244,18.0508,8.83973,10.1958,12.1145,13.2289
5,2.33558,3.124,13.7652,0.687675,0.0233204,204.582,700,17.0658,10.7609,12.2502,16.0617,17.902,9.84741,11.5135,11.7375,12.8481
6,3.1267,5.91287,15.5696,1.2125,-1.43598e-06,388.949,941,13.6599,10.3924,14.4472,12.92,14.1202,9.75919,10.9482,13.7058,15.2076
7,10.3954,3.47001,20.6172,0.47859,-0.00176881,657.915,2496,14.7618,10.5524,13.5786,13.61,15.6988,9.44104,11.5484,11.9718,14.8515
8,0.724647,3.4465,7.45095,1.62304,0.0891876,161.225,622,17.8559,9.0417,13.1397,17.4941,18.2916,8.73252,9.44081,12.7793,13.4854
9,1.00897,3.02863,5.00845,1.3875,0.337891,59.6652,876,18.1217,9.10504,12.6034,17.742,18.5432,8.6755,9.61859,12.2828,12.9764
10,0.59006,3.41058,5.34558,2.09788,0.482717,76.3666,491,17.5598,11.2852,12.4893,17.2622,17.8559,10.9373,11.6304,12.2443,12.7755
11,3.29064,3.01415,12.6002,0.702974,0.00871778,137.189,864,17.0511,10.919,11.6249,16.1919,18.0896,10.0529,11.6863,10.8778,12.2634
12,0.968024,3.47847,6.9695,0.809817,0.00141099,120.25,360,12.8723,10.0415,14.4866,12.4351,13.3137,9.69083,10.5097,14.0498,14.8517
13,1.01767,1.31454,3.03731,0.55061,0.0837365,53.34,300,13.0495,10.4633,13.9151,12.5899,13.5553,10.003,10.9601,13.5868,14.4941
14,0.0664797,7.7647,6.45672,6.0898,0.394984,40.2631,24,14.3061,10.3054,12.1231,13.5871,14.4846,10.1523,10.7193,11.9166,13.0429
15,6.13466,1.07406,1.96529,0.5247,0.0738851,50.6857,1513,14.9993,10.5462,11.2122,14.4572,15.5268,9.91119,11.1637,10.1141,12.4455
16,0.439892,3.34574,5.26052,1.93959,0.513711,51.9911,391,18.0437,8.80074,13.3977,17.7261,18.3368,8.53932,9.10703,13.1444,13.6816
17,0.465841,1.84469,2.31614,1.03007,0.0379435,16.663,412,18.1586,9.33832,13.4231,17.905,18.3852,9.07794,9.60022,13.1719,13.6875
18,0.946437,4.918,8.80615,3.05715,0.953592,170.359,801,18.4344,8.60039,12.5344,18.0494,18.7801,8.19494,8.97273,12.1929,12.9093
19,0.377781,7.50595,20.495,2.22093,0.65922,213.126,319,18.583,9.17119,12.6195,18.3567,18.8211,8.93749,9.376,12.4118,12.8362
20,0.212687,3.66621,2.30253,3.00067,1.20389,19.5684,186,17.8432,11.4259,12.5459,17.66,17.9876,11.2077,11.6162,12.327,12.7291
21,0.146121,2.17689,2.65467,1.64997,0.575615,17.8407,131,17.4467,11.5986,12.4009,17.3075,17.7497,11.4445,11.7675,12.2403,12.6064
22,2.04019,10.8826,54.8895,3.14537,0.145311,1259.03,682,18.0307,10.557,11.2308,17.4283,18.5551,10.0424,11.2602,10.5803,11.9313
23,5.29827,2.21566,5.49868,0.876144,0.0125917,114.463,1519,17.5017,11.4615,10.7064,16.5132,18.456,10.6539,12.2199,9.89028,11.6344
24,0.3142,8.92035,15.6932,4.32144,0.99813,126.756,273,12.5417,10.0507,14.8707,12.3328,12.787,9.80607,10.2361,14.6482,15.1107
25,1.00099,6.25188,14.952,1.74215,0.24647,125.56,354,12.5772,9.61833,14.4984,12.182,12.9851,9.21131,10.0121,14.1754,14.8811
26,2.34092,3.87005,10.1245,1.5351,0.122272,225.635,809,12.3763,10.8128,13.6579,11.7003,13.1047,10.3051,11.3363,13.1339,14.2717
27,0.572291,3.30755,11.5993,1.2282,0.34727,193.664,494,13.0214,11.1115,14.0977,12.6947,13.3308,10.8518,11.4374,13.7889,14.3571
28,5.88252,3.89762,18.7137,0.908294,0.0360105,462.709,1610,13.6151,9.64056,12.1308,12.782,14.4036,8.72346,10.7135,11.2423,13.0903
29,9.28491,3.84136,18.4056,0.823353,0.052573,666.986,2458,13.9889,11.4713,11.7505,12.9658,14.9872,10.2739,12.4586,10.4981,13.0892
30,3.40481,1.33104,1.59028,0.736049,0.0922706,19.2326,1093,15.1866,10.049,9.65449,14.64,15.748,9.36054,10.7568,8.88908,10.3803
31,0.814386,3.83983,13.1472,0.851639,0.383511,153.875,342,15.0165,10.9118,9.83727,14.7407,15.282,10.617,11.2389,9.42178,10.2718
32,0.311171,4.68585,15.7093,2.01623,0.772892,174.623,277,18.1503,8.59082,13.562,17.8884,18.3652,8.36014,8.79946,13.3328,13.7709
33,0.121218,4.67309,5.45921,2.86504,0.335465,30.3079,105,17.9166,8.88892,13.6841,17.7444,18.0778,8.73827,9.04962,13.5545,13.7974
34,0.272986,2.43678,4.5873,1.46263,0.598048,44.5952,306,18.5145,9.44358,13.629,18.261,18.7486,9.28585,9.59504,13.4604,13.805
35,0.213427,1.24637,1.17702,0.984215,0.496908,8.94366,239,18.2135,9.6641,13.5761,18.0542,18.3779,9.46053,9.92568,13.4079,13.7578
36,1.05648,5.42713,5.12672,3.75809,1.11071,59.7899,920,18.6796,8.00714,12.4519,18.2984,19.0607,7.54869,8.41527,12.0897,12.7618
37,0.165732,17.3361,40.0713,4.26557,1.56828,295.417,147,18.2802,8.25404,12.2707,18.1084,18.4997,8.06947,8.44753,12.1315,12.4745
38,0.100213,5.94533,5.0037,3.7744,1.7602,30.6342,87,18.8319,9.10358,12.6856,18.7486,18.9339,8.95301,9.30329,12.4643,12.82
39,0.214768,2.78207,2.27443,2.46548,0.993813,14.8756,368,18.7069,9.45022,12.4839,18.5765,18.8762,9.24738,9.60551,12.2948,12.7287
40,0.130467,3.07563,2.40427,1.83718,1.12778,11.89,106,17.91,11.4991,12.7832,17.7791,18.0375,11.3599,11.6328,12.6707,12.9179
41,0.323836,7.79711,23.1969,2.77152,1.12822,233.567,278,18.1498,11.4768,12.5738,17.9496,18.368,11.2856,11.697,12.419,12.7648
42,0.213787,2.84891,3.28282,3.10975,0.953158,34.0586,394,17.5493,11.8441,12.5773,17.4123,17.6812,11.6208,12.065,12.4419,12.7222
43,0.105277,3.37904,3.49171,2.26563,0.798316,29.1719,89,17.6356,11.697,12.3076,17.438,17.8159,11.5655,11.8253,12.1955,12.4815
44,0.605655,6.84529,7.02725,4.06656,1.118,53.5661,189,18.42,10.2924,10.7551,18.0947,18.7315,9.94746,10.6882,10.4151,11.17
45,0.277648,19.7781,22.7888,10.6298,2.11004,134.437,250,17.9887,10.1429,10.7167,17.746,18.2118,9.94328,10.4151,10.49,10.9867
46,0.206803,4.3067,9.89769,0.953661,0.542376,59.1871,67,18.162,12.0538,10.6826,17.8098,18.3523,11.8694,12.2747,10.3687,10.8923
47,3.01879,2.3475,5.48708,1.01719,0.00226605,91.9897,941,17.8946,11.7913,9.70468,17.1616,18.707,11.1426,12.4058,9.08608,10.2674
48,0.260477,5.32103,3.22544,4.11284,2.11121,22.074,226,12.3054,10.056,15.0478,12.0694,12.5229,9.87242,10.2533,14.8578,15.23
49,0.200084,8.74999,17.1038,6.01765,2.0995,229.232,172,12.6917,10.1382,15.1111,12.5226,12.881,9.93403,10.3237,14.9668,15.2749
50,1.09258,6.8258,24.44,2.11112,0.489163,321.533,354,12.5139,9.0139,14.8261,12.1858,12.8029,8.59175,9.45817,14.398,15.2066
51,0.870197,6.94016,20.2329,2.26837,0.796922,320.785,306,12.1718,9.18751,14.3072,11.7825,12.5922,8.81255,9.60524,13.9417,14.6604
52,0.434932,7.8768,14.3673,4.17945,1.0495,257.754,376,11.6012,10.8659,13.8339,11.292,11.884,10.6611,11.1221,13.5851,14.0837
53,0.178559,23.7701,38.0458,7.4163,1.69556,271.944,76,11.7525,10.9936,13.3752,11.465,12.1094,10.7087,11.214,13.0733,13.7371
54,0.230002,2.26464,1.97255,1.67269,0.589823,14.8731,204,12.9376,11.4901,14.2509,12.7861,13.1216,11.3057,11.7182,14.0566,14.4378
55,0.365093,1.44296,1.2337,1.01608,0.487857,10.1867,394,13.246,11.5331,14.0325,12.9687,13.5459,11.3047,11.7565,13.8496,14.2297
56,0.881547,6.9322,12.6054,2.37422,1.30949,153.022,307,12.7968,9.39907,11.3304,12.458,13.245,9.0546,9.70439,10.9724,11.7365
57,0.840473,4.0323,3.83428,2.34206,0.786909,41.7577,293,13.2622,8.89237,11.422,12.7078,13.6964,8.50897,9.31097,10.9994,11.9034
58,0.286453,2.20022,2.39886,1.5611,0.785019,26.2563,250,13.3912,12.3442,11.4629,13.1738,13.762,12.1035,12.5559,11.1641,11.6906
59,3.5431,2.25635,6.45067,1.00519,0.0539962,111.271,868,13.5152,11.8068,10.4792,12.6727,14.3916,11.0094,12.645,9.71818,11.1039
60,0.0800316,4.44594,8.54322,1.84271,0.887486,54.0842,60,15.0507,9.47122,9.21303,14.9402,15.3255,9.25978,9.63063,9.00218,9.45308
61,0.160117,7.60218,14.6352,1.63349,0.700359,70.459,92,15.2559,9.48708,9.01251,15.0249,15.7549,9.24297,9.81493,8.71698,9.36218
62,0.140831,2.32419,2.61256,1.42028,0.491643,17.6947,117,15.0065,11.2721,9.69725,14.859,15.148,11.1301,11.4221,9.53138,9.83958
63,0.342022,2.09246,3.29078,1.13141,0.521386,32.8009,298,14.9947,11.1478,9.36129,14.8485,15.1636,10.8863,11.3849,9.10958,9.59608
64,0.702619,2.94211,4.90704,1.95486,0.798733,88.1543,599,18.2637,8.27332,13.8612,17.9798,18.5258,7.92076,8.60406,13.4873,14.2325
65,0.0854783,8.331,22.0333,2.65991,1.2958,149.321,73,18.0559,8.30282,13.547,17.9563,18.2219,8.15474,8.41834,13.4391,13.6931
66,0.35004,2.31447,2.0448,1.74577,0.34904,21.2005,359,17.8589,8.94536,13.9501,17.7023,18.0195,8.75933,9.18122,13.7494,14.1841
67,0.0858553,3.35963,1.96446,5.9557,0.69691,9.78168,102,17.7369,8.86601,13.6273,17.6252,17.8191,8.73748,9.03356,13.4851,13.7389
68,0.233658,24.2813,78.8887,12.5092,0.458649,520.907,417,18.6376,9.36832,13.9498,18.4874,18.797,9.24604,9.49463,13.7632,14.1759
69,0.156508,2.39976,2.7818,3.22312,0.753369,23.2365,290,18.8114,9.4671,13.7551,18.649,18.9537,9.3402,9.61119,13.6179,13.8567
70,0.0843331,1.64082,1.68888,1.04335,0.41696,10.3242,82,18.287,9.7823,13.7228,18.1061,18.3904,9.65427,9.94707,13.5766,13.8214
71,0.115469,0.665011,0.410954,0.640553,0.236218,2.826,282,18.0849,9.94106,13.6149,17.9441,18.2426,9.77021,10.162,13.5268,13.7044
72,0.242163,9.84455,16.7848,3.96348,1.51179,102.357,208,18.7387,7.57825,12.6072,18.5336,19.039,7.3644,7.76669,12.3256,12.8006
73,0.699519,9.73852,27.8162,4.64525,1.98534,497.956,604,18.9739,7.57195,12.1287,18.6392,19.308,7.25893,7.90444,11.791,12.4793
74,0.0515733,6.42873,5.86956,4.77186,1.49403,24.6771,44,18.1004,8.28715,12.2815,17.996,18.1674,8.17518,8.395,12.1776,12.38
75,0.534614,8.04978,8.5437,7.49363,1.5093,73.0235,766,18.1157,8.09362,11.8941,17.894,18.3611,7.90256,8.3413,11.52,12.2354
76,0.266715,6.22045,5.89655,3.87638,1.94166,56.2963,231,19.0362,9.06288,12.6291,18.8472,19.2801,8.88279,9.24977,12.4565,12.8153
77,0.366008,4.42879,4.59523,3.25282,0.931173,68.7094,358,19.0141,9.46777,12.7125,18.7448,19.2694,9.22734,9.72205,12.5117,12.9218
78,0.137734,2.51733,2.30063,3.3264,0.734622,13.1325,333,17.8504,11.2976,12.9683,17.7249,17.9622,11.1579,11.4502,12.8486,13.0823
79,0.223131,2.01401,1.64785,1.36547,0.62203,11.4228,198,17.9934,11.5702,13.0017,17.8204,18.1372,11.368,11.7488,12.8241,13.1748
80,0.0358559,7.80291,3.72477,6.65681,2.01837,16.5395,30,18.4053,11.4754,12.6361,18.3308,18.4675,11.3658,11.6459,12.5075,12.7548
81,0.125271,36.3706,90.706,15.6303,1.10357,831.003,260,18.4093,11.3103,12.5449,18.2728,18.518,11.1749,11.4678,12.4408,12.663
82,0.480865,2.83655,2.00192,2.46552,0.875611,17.4962,515,17.9654,11.9351,12.2489,17.6699,18.2558,11.6184,12.2159,12.0452,12.4054
83,0.263318,2.34069,1.84605,1.70638,0.584782,17.0551,232,17.5676,11.9951,12.2586,17.3803,17.7218,11.7815,12.2482,12.069,12.4295
84,0.807274,5.81165,10.6879,1.89432,1.21099,170.081,315,18.9893,10.486,10.8479,18.6025,19.4294,10.1707,10.785,10.5533,11.1281
85,1.07438,5.64496,4.36732,3.68702,1.19763,30.5038,401,18.7827,10.0048,10.4921,18.3419,19.208,9.61342,10.4408,10.1238,10.9685
86,0.192395,9.12147,8.66231,4.92563,2.86142,51.2791,172,17.7679,9.94393,10.8376,17.5756,17.9723,9.74907,10.1077,10.6693,11.0248
87,0.354075,8.61837,7.55392,6.20677,2.38496,64.4994,311,17.7206,10.0895,10.5231,17.4506,17.9868,9.93452,10.2544,10.2618,10.762
88,0.402188,2.21904,5.69104,0.974526,0.392737,62.703,352,17.8697,12.4384,10.7211,17.6671,18.0888,12.1316,12.7738,10.4962,10.8943
89,0.889976,2.08288,2.74117,0.942902,0.330253,41.7818,482,18.3656,12.4908,10.5963,17.9346,18.7702,12.0842,12.9161,10.4009,10.8352
90,0.845385,3.4885,6.69977,1.93693,0.690238,123.08,304,18.6528,11.7387,9.09088,18.2689,18.9635,11.3535,12.1407,8.66198,9.50908
91,0.519768,5.53062,8.09467,2.17671,0.211486,51.7787,138,18.1664,11.9328,9.20858,17.4738,18.721,11.4653,12.4611,8.89018,9.53968
92,0.189689,4.72161,2.03484,4.71208,2.42617,12.9551,245,12.0731,9.96921,15.1663,11.8923,12.2478,9.81755,10.1297,14.9882,15.3279
93,0.346922,4.58233,3.1188,5.0068,1.58757,28.2004,670,12.0297,10.3366,15.1935,11.7544,12.2549,10.1223,10.5503,15.0017,15.4031
94,0.170676,5.54881,3.25132,5.07511,0.993955,22.8288,147,12.893,10.178,15.263,12.7128,13.0227,10.0347,10.3459,15.0814,15.4135
95,0.277552,4.02309,2.06957,4.60705,1.48915,33.8946,497,12.8015,10.5136,15.2367,12.6524,12.942,10.2774,10.7976,15.0926,15.3868
96,0.663552,7.7046,45.6174,2.35001,0.975139,674.822,316,12.448,8.53398,15.0958,12.134,12.7855,8.18551,8.85679,14.7719,15.5205
97,0.0627865,13.8666,16.2434,7.49133,1.22975,91.158,53,12.7596,8.60971,14.899,12.6427,12.8517,8.49093,8.74473,14.7772,15.0327
98,0.51263,4.2221,3.0462,3.01395,1.32194,24.6757,147,11.8372,8.90112,14.1893,11.5099,12.1284,8.62112,9.18921,13.8882,14.4489
99,0.164396,10.3911,15.6291,7.48845,1.54119,124.609,399,12.0712,9.23625,13.9302,11.9247,12.2438,9.03128,9.38916,13.8074,14.0629
100,0.0259959,3.18699,1.76131,2.6633,1.77084,8.04931,21,11.4278,10.973,13.9854,11.3182,11.5229,10.8343,11.1079,13.8187,14.1059
101,0.152267,7.34819,13.1589,7.92076,1.34352,106.248,316,11.5054,10.6532,14.0373,11.3761,11.6099,10.5039,10.8031,13.8973,14.1811
102,0.728673,7.35547,18.7015,3.04798,0.703633,237.089,226,11.5166,10.6946,13.2161,11.1938,11.8943,10.3787,11.0158,12.8706,13.5811
103,0.514218,10.725,28.9957,2.19999,0.546663,260.96,197,11.7524,11.2412,13.3236,11.3764,12.148,10.9517,11.5331,12.9952,13.6684
104,0.0387958,1.62868,0.626704,1.42815,0.721473,3.03339,35,12.9922,11.6424,14.4005,12.8307,13.1057,11.4277,11.7419,14.2935,14.4924
105,0.426684,2.75579,2.08305,3.32638,0.717025,12.7513,717,12.8116,11.9507,14.3184,12.5871,13.0013,11.6249,12.2577,14.1879,14.4758
106,0.167315,1.30002,1.38825,1.23069,0.396329,12.3872,273,13.591,11.6592,14.0834,13.3965,13.7535,11.4601,11.7774,13.8963,14.1791
107,0.30872,1.70466,1.7504,1.48847,0.517777,15.194,349,13.4694,11.881,13.903,13.2435,13.691,11.6659,12.0899,13.6893,14.12
108,0.475358,4.30852,4.61579,1.76716,1.06943,60.94,275,12.3922,9.46155,11.1441,12.0913,12.624,9.20851,9.79048,10.8263,11.4519
109,0.140438,4.49497,3.28408,3.4202,1.28758,19.1639,128,12.7253,9.53532,10.9373,12.5714,12.9003,9.34245,9.66876,10.8016,11.0945
110,1.48115,3.62666,3.50547,2.1135,0.731269,40.201,521,12.9184,8.46457,11.3402,12.447,13.4753,7.94101,8.92508,10.8442,11.7576
111,0.455578,9.47872,16.3818,4.14842,1.5782,147.588,389,13.5963,8.58673,11.1093,13.2814,13.9399,8.38483,8.84035,10.8903,11.3996
112,0.24843,3.66915,5.83186,1.75923,0.72909,43.3131,215,13.6367,12.6099,11.5432,13.4114,13.8466,12.3938,12.7931,11.2977,11.7301
113,0.354748,3.34998,3.40653,2.06876,0.876047,29.6924,304,13.3187,12.6804,11.3848,13.0831,13.5673,12.4536,12.8994,11.1922,11.6097
114,1.42496,6.77839,37.1943,2.2046,0.191131,577.699,507,12.9585,11.2049,9.87687,12.4866,13.5251,10.7437,11.6246,9.31778,10.4168
115,3.46332,2.75916,5.09655,1.08999,0.17438,90.8653,935,13.2525,12.2095,9.69891,12.4638,14.0276,11.4936,12.8778,8.91838,10.4406
116,0.337039,4.98692,5.3347,3.81877,0.98585,88.1023,349,15.0997,9.26633,9.51344,14.9547,15.2698,9.12384,9.45877,9.24058,9.79768
117,0.539002,4.46667,4.8606,2.95441,1.09574,55.7275,461,14.9619,9.17319,8.90752,14.71,15.2147,8.93177,9.46006,8.54668,9.26008
118,2.136,3.44227,5.35779,1.29708,0.390285,82.6068,730,15.7408,9.15609,8.80846,15.1298,16.2972,8.56206,9.74073,8.31128,9.33428
119,0.593357,3.88461,12.7447,1.30056,0.58889,257.081,520,15.3849,9.7488,8.64265,15.108,15.6509,9.45529,10.0283,8.33398,8.96248
120,0.311381,1.74672,1.61961,1.99437,0.534993,12.1954,546,15.0997,11.5559,9.85675,14.92,15.2501,11.3356,11.7734,9.64908,10.0732
121,0.149943,2.22581,1.83247,2.4098,0.595514,12.4344,341,14.8131,11.4385,9.65943,14.686,14.9545,11.2854,11.5891,9.50428,9.79588
122,0.187119,2.77177,2.81535,2.75985,0.525746,24.3723,314,15.0152,10.9899,9.00601,14.8943,15.1627,10.868,11.1457,8.78278,9.23038
123,0.517463,1.42463,1.15682,0.912201,0.479306,8.89209,443,14.9991,11.3371,8.98455,14.8348,15.1641,11.097,11.5871,8.69838,9.31128
124,0.106441,9.55252,15.1237,3.2747,1.33252,84.8472,87,18.2747,7.98177,14.1081,18.1051,18.4729,7.85756,8.19246,13.9581,14.2478
125,0.14453,12.1931,29.9215,3.75526,1.27189,241.798,141,18.5709,8.10032,14.0402,18.4532,18.7311,7.93945,8.25682,13.8913,14.2015
126,0.134895,10.9336,37.8097,6.60239,0.447081,459.659,279,18.0253,8.08594,13.5837,17.916,18.14,7.9248,8.23253,13.4734,13.6887
127,0.0443065,3.92461,3.83764,4.41114,0.765652,20.681,161,18.0964,8.226,13.4205,18.0164,18.185,8.15397,8.31793,13.344,13.5116
128,0.113374,3.30319,3.59751,6.15817,0.704244,28.7718,311,17.788,8.78245,14.2056,17.6718,17.9147,8.6745,8.89707,14.0672,14.3417
129,0.327849,3.19778,3.80879,3.26997,0.76917,38.2015,683,17.8988,9.02644,14.3874,17.708,18.041,8.85144,9.20093,14.0952,14.7411
130,0.0740611,18.1572,52.6501,7.79753,0.0409604,324.772,125,17.6504,8.70452,13.6135,17.5687,17.7553,8.59695,8.80575,13.5142,13.6891
131,0.129852,2.73855,1.55838,3.74868,0.818377,11.3763,309,17.6335,8.99776,13.5265,17.5359,17.7519,8.8125,9.15193,13.4236,13.6448
132,0.237688,1.40233,1.08133,1.66192,0.450408,7.97333,418,18.1948,9.92603,13.9294,18.0351,18.3416,9.71576,10.1239,13.7706,14.1038
133,0.12923,1.38465,1.25738,1.60477,0.384101,10.8193,192,18.3399,10.0077,13.7401,18.2081,18.444,9.84236,10.1506,13.6188,13.8561
134,0.0710267,11.5841,14.0116,4.48342,2.35261,66.1201,62,18.5582,7.41539,12.6416,18.4371,18.6525,7.27914,7.54226,12.5101,12.764
135,0.403817,7.14712,7.06497,5.55159,1.67565,107.351,356,18.8784,7.32281,12.6306,18.6265,19.0922,7.10285,7.56921,12.3875,12.8938
136,0.112137,8.25402,12.0419,4.38285,2.61408,88.3407,101,19.3325,7.56208,12.0143,19.2034,19.4921,7.39271,7.6809,11.8463,12.1392
137,0.3748,7.02442,6.90788,5.18015,2.14268,73.752,325,19.1548,7.30968,11.8458,18.8751,19.3877,7.08894,7.56745,11.5425,12.1251
138,0.0652721,3.52553,3.32145,5.43759,1.46535,26.1998,174,17.9877,8.25077,12.3784,17.8907,18.0891,8.15999,8.35413,12.2808,12.4613
139,0.154906,3.84356,2.94453,5.05125,0.729551,21.3652,272,17.9218,8.39045,12.2198,17.7662,18.0966,8.23573,8.53277,12.1288,12.3541
140,0.397061,7.26463,7.6611,7.44823,1.98882,80.5993,640,19.3569,8.8516,12.8308,19.0531,19.6487,8.61435,9.08608,12.6312,13.0231
141,0.153027,7.54336,6.41395,4.85728,2.06029,30.401,134,19.2949,9.01334,12.5262,19.1343,19.4454,8.84973,9.15409,12.3678,12.673
142,0.269166,3.06197,2.59141,3.90988,0.834475,24.221,502,19.21,9.76384,12.9273,18.9811,19.4193,9.54907,9.95532,12.7343,13.1109
143,0.209909,3.22291,2.06745,2.88934,1.35349,13.2955,225,19.3009,9.72432,12.6963,19.1201,19.4873,9.53593,9.88426,12.5868,12.8282
144,0.18374,1.89771,3.06611,2.41838,0.358521,33.9117,380,18.0353,11.5903,13.2757,17.9036,18.1686,11.4356,11.7291,13.1178,13.456
145,0.104067,1.22929,1.08861,1.16002,0.360083,6.54889,179,17.9111,11.7682,13.1695,17.797,18.0477,11.6422,11.8996,13.032,13.3036
146,0.290308,3.02022,1.98825,3.1046,1.1092,16.2385,456,18.5084,11.6794,12.8124,18.2537,18.7605,11.4904,11.8195,12.5645,13.033
147,0.450018,4.25887,3.49556,4.77394,1.02154,70.9466,733,18.7863,11.5261,12.6683,18.4767,19.1544,11.3808,11.7144,12.5282,12.8005
148,0.335236,3.01091,1.88952,3.35396,0.848791,13.0022,539,18.2213,12.3301,12.3291,18.006,18.4135,12.082,12.5613,12.1532,12.5389
149,0.140408,3.791,3.45008,4.20362,0.954681,25.9923,218,18.3545,12.1245,12.1848,18.2022,18.4847,11.9954,12.2489,12.0835,12.3123
150,0.0942564,2.69059,1.61696,3.62872,1.1321,8.72178,180,17.5875,12.2935,12.199,17.4679,17.6811,12.1784,12.4064,12.1082,12.2901
151,0.18307,2.97719,5.68301,3.32041,0.771081,49.6658,439,17.3823,12.1505,12.0879,17.2006,17.5791,11.9945,12.2939,11.9392,12.2403
152,0.0964578,5.82573,7.066,3.66228,0.748525,43.4013,72,19.3473,10.4789,11.0458,19.1395,19.4999,10.3291,10.71,10.873,11.1983
153,0.278061,4.87782,5.79587,3.54392,1.22958,73.1018,237,19.4322,10.7159,10.8626,19.1946,19.6605,10.4778,10.9539,10.6851,11.0534
154,0.521651,5.35492,4.7774,3.59681,1.19812,47.1275,255,19.1073,9.67131,10.2916,18.7602,19.4306,9.34163,9.9633,9.98308,10.6004
155,0.0943719,13.8206,20.8577,5.96158,2.67328,116.436,79,18.8257,9.89489,10.0748,18.691,19.0482,9.70295,10.0613,9.96258,10.165
156,0.0697804,6.15835,3.065,5.97318,3.3293,27.42,63,17.7982,9.82476,10.9649,17.6424,17.9132,9.69242,9.96834,10.7706,11.0745
157,0.423054,5.82063,5.38695,6.05156,2.02842,48.0094,601,17.3835,9.762,11.0402,17.1303,17.6653,9.57636,9.97725,10.8016,11.2939
158,0.16541,7.65275,5.27226,9.25787,2.86758,37.5798,278,17.6534,9.86489,10.2717,17.5289,17.7788,9.70397,10.0415,10.1434,10.4269
159,0.00647187,6.85775,4.08816,4.16926,2.63679,14.0288,7,17.5235,10.2438,10.4025,17.4891,17.5681,10.2375,10.248,10.3673,10.4384
160,0.372429,1.65659,1.54697,1.82414,0.59174,18.4803,608,17.8042,12.8736,10.9763,17.5984,17.9463,12.586,13.1285,10.7304,11.2027
161,0.0907313,2.64295,2.97671,1.43948,0.736261,16.8183,81,17.6845,12.694,10.6823,17.549,17.8434,12.5175,12.8228,10.5565,10.8602
162,0.246834,2.77005,3.94421,1.58151,0.542619,40.1543,215,18.7298,12.7838,10.8486,18.5295,18.9484,12.5825,12.9906,10.6621,11.0558
163,0.0787197,2.38586,2.02548,1.52321,0.863162,12.2385,68,18.7102,12.7828,10.5337,18.5509,18.8349,12.6359,12.9704,10.3988,10.7321
164,0.738545,3.19977,3.64244,1.97497,0.462773,28.1899,208,19.0088,11.6509,8.78258,18.6976,19.313,11.2769,11.997,8.44188,9.12588
165,0.375587,6.14874,6.86794,3.21374,1.16777,46.7948,312,18.5886,11.3374,8.73377,18.3074,18.8608,11.027,11.5835,8.52418,8.99778
166,2.12557,5.1229,20.9541,1.55636,0.19628,321.766,701,18.0869,12.2094,8.72773,17.5302,18.7059,11.6671,12.789,8.14998,9.36648
167,0.447948,4.24375,6.22864,2.11825,0.73328,55.8785,371,17.5709,12.3082,9.13104,17.3441,17.8266,11.9248,12.6255,8.88248,9.41018
168,0.141766,3.70391,1.64617,3.90428,1.56212,8.53394,244,12.0016,9.90791,15.3942,11.8739,12.1457,9.79498,10.0512,15.2586,15.5051
169,0.286313,4.11293,2.48076,4.62032,1.71558,16.8983,511,11.703,9.93061,15.2687,11.4568,11.949,9.80053,10.0796,15.0897,15.4558
170,0.0713519,3.35028,1.45521,3.00156,1.37179,8.25096,64,12.8564,10.1994,15.4478,12.766,12.9724,10.0813,10.3163,15.3751,15.5481
171,0.052519,5.40382,3.62223,4.4031,1.64274,22.577,41,13.0444,10.2144,15.2763,13.0024,13.1171,10.0787,10.3503,15.1594,15.4016
172,0.0321975,8.46395,6.39523,5.88301,2.77831,24.7953,18,12.2933,8.42149,15.4368,12.2122,12.3667,8.33246,8.53687,15.3621,15.4963
173,0.476411,7.11755,6.24155,6.20036,1.70109,56.6775,542,12.0257,8.59977,15.4109,11.7457,12.3258,8.35278,8.84834,15.161,15.696
174,0.0539167,4.10609,3.67609,6.45442,1.04302,18.3733,135,12.8789,8.63864,14.8452,12.8096,12.9605,8.5446,8.72838,14.7618,14.9472
175,0.163415,4.01619,4.84125,4.01431,0.681837,35.7424,393,12.7501,8.51627,14.7173,12.6297,12.872,8.31906,8.65725,14.5857,14.8653
176,0.274864,8.93643,11.1148,4.40697,1.96887,104.071,186,11.4764,8.73176,14.3191,11.2584,11.7237,8.50873,8.96494,14.087,14.4729
177,1.07693,3.34072,2.77479,2.26603,1.09273,21.9902,353,11.5302,8.47109,13.899,11.1246,11.9664,7.9902,8.94688,13.5023,14.2521
178,0.354,4.21742,3.13141,3.83216,1.01074,22.8455,369,11.1803,10.9981,14.0443,10.8866,11.4283,10.7792,11.2235,13.8338,14.2592
