label,parent,length,radius,name,centroidX,centroidY,centroidZ,directionX,directionY,directionZ
1,0,3.8579,0.633658,Trachea,15.6271,12.4944,21.1153,-0.0638173,0.108764,-0.992017
2,1,5.89578,0.621015,LMB,16.1652,13.0142,16.3458,0.224296,0.105177,-0.968829
3,1,3.42378,0.853296,RMB,14.9932,13.2012,17.6453,-0.298354,0.290323,-0.909229
4,2,1.4799,0.466713,,17.4922,13.0142,13.3994,0.899723,-0.419015,-0.122171
5,2,1.67248,0.803769,LMB,17.0271,13.4337,12.6854,0.239942,0.130883,-0.961924
6,3,1.96814,0.581301,CrRMB,13.607,13.6572,15.6414,-0.889673,-0.0416636,-0.454694
7,3,2.10108,0.89844,RMB,14.3092,13.7803,15.0559,-0.164915,0.07815,-0.983207
8,4,0.65045,0.294075,,18.3677,12.6814,13.5565,0.644939,-0.0701053,0.761012
9,4,0.492658,0.387552,,18.3813,12.6631,13.2138,0.907119,-0.166647,-0.386475
10,5,0.869702,0.523241,,17.4465,13.2605,11.6334,0.503276,-0.650107,-0.569275
11,5,0.205175,0.676499,LMB,17.214,13.5979,11.7953,-0.13354,0.533206,-0.835379
12,6,1.0933,0.311916,,12.4123,13.2651,15.4653,-0.583921,-0.642368,0.496387
13,6,0.670395,0.436565,CrRMB,12.426,13.6664,15.0654,-0.911402,0.149613,-0.383356
14,7,2.66161,0.556755,MiRMB,13.6207,12.7315,13.547,-0.387209,-0.849786,-0.357678
15,7,0.288629,0.932566,RMB,14.104,13.8898,13.8849,-0.221392,0.189516,-0.956593
16,8,0.394593,0.207482,,18.6869,12.5628,13.9373,0.554751,-0.485564,0.675633
17,8,0.600709,0.144684,,18.5683,12.9276,13.9373,-0.0302974,0.895609,0.443809
18,9,0.90908,0.298678,,18.9331,12.3257,13.0138,0.722269,-0.652088,-0.230453
19,9,0.629879,0.2294,,18.8145,12.8547,13.0852,0.666001,0.738396,-0.105893
20,10,1.23376,0.291653,,18.1579,12.8136,11.0527,0.798373,-0.266179,-0.540138
21,10,0.593944,0.205814,,17.5651,12.7133,11.2955,-0.337741,-0.890656,-0.304405
22,11,0.959392,0.294707,,17.4967,14.022,11.7858,0.617892,0.770071,0.158746
23,11,1.41859,0.595805,LMB,17.3417,13.7347,11.0194,0.199283,0.115749,-0.973082
24,12,0.0944061,0.316973,,12.0748,12.8774,15.7604,-0.386627,-0.772204,0.504203
25,12,0.777895,0.1952,,11.8879,13.1328,15.9841,-0.527577,0.5628,0.636332
26,13,0.579926,0.272949,,12.0931,14.0038,14.9083,-0.0944949,0.990644,-0.0984614
27,13,1.08983,0.369375,CrRMB,11.6508,13.7256,14.6608,-0.861969,0.0166998,-0.506685
28,14,0.424962,0.323501,,12.9321,11.6462,12.9567,-0.815369,0.214607,-0.537697
29,14,1.13781,0.433239,MiRMB,13.11,11.0443,12.952,0.0079978,-0.977846,-0.209174
30,15,3.35701,0.549957,AcRMB,14.4323,13.1556,12.2951,0.214625,-0.453677,-0.864935
31,15,1.67916,0.830465,CaRMB,13.7255,14.0265,12.99,-0.412765,0.130362,-0.90146
32,16,0.560983,0.169832,,18.9423,12.4123,14.3038,0.520334,-0.195014,0.831398
33,16,0.293315,0.148221,,18.7325,12.353,14.1372,-0.435371,-0.77732,0.454121
34,17,0.512304,0.0709094,,18.4452,13.265,14.2895,-0.44505,0.267029,0.854767
35,17,0.242999,0.116114,,18.5911,13.3015,14.1229,0.262548,0.863378,0.430867
36,18,0.710718,0.298314,,19.5122,11.7831,12.8568,0.705765,-0.69296,-0.147315
37,18,0.493167,0.169742,,19.0972,11.856,12.8472,-0.665698,-0.702803,-0.250826
38,19,0.343937,0.152809,,19.1839,13.1419,13.0186,0.928078,0.318081,-0.19364
39,19,0.673025,0.124562,,18.9924,13.4155,13.1185,-0.0947943,0.975595,0.198061
40,20,0.172673,0.247655,,18.6504,12.5719,10.6814,0,-0.897648,-0.440713
41,20,0.325936,0.259936,,18.8009,12.6403,10.6576,0.923497,-0.055839,-0.37952
42,21,0.388854,0.125941,,17.4283,12.312,11.3383,-0.187731,-0.703604,0.685345
43,21,0.476264,0.120881,,17.3143,12.3804,11.0337,-0.632004,-0.287235,-0.719769
44,22,0.13926,0.161802,,17.7703,14.4507,11.8905,-0.327451,0.850923,0.410738
45,22,0.734814,0.165601,,18.0941,14.5464,11.7191,0.819119,0.421875,-0.388671
46,23,0.961129,0.28853,,17.2961,14.2591,10.3101,-0.389021,0.920376,-0.0396411
47,23,0.090433,0.574753,LMB,17.4967,13.8214,10.2863,0.302998,0.100627,-0.947664
48,24,0.797615,0.249005,,12.1022,12.6266,16.1174,0.114342,-0.537477,0.835491
49,24,0.761575,0.242089,,11.824,12.5582,15.6795,-0.610707,-0.742539,-0.275087
50,25,0.231403,0.127955,,11.5687,13.3653,16.2459,-0.985295,0.117976,0.123597
51,25,0.439956,0.106943,,11.7557,13.525,16.3458,0.331623,0.787579,0.51937
52,26,0.467239,0.134636,,12.0292,14.4142,15.0749,-0.156023,0.527139,0.835333
53,26,0.259639,0.158698,,12.1068,14.3914,14.8084,0.316211,0.772994,-0.549991
54,27,0.770672,0.183831,,10.8756,13.7074,14.6179,-0.792814,-0.0709769,0.605316
55,27,0.116037,0.343496,CrRMB,11.1492,13.7256,14.3371,-0.549823,-0.156846,-0.820423
56,28,0.313579,0.197214,,12.6129,11.6964,12.7854,-0.930866,0.029339,-0.364182
57,28,0.405987,0.149738,,12.7908,11.7876,12.6664,0.157148,0.471936,-0.867514
58,29,0.0651421,0.419326,MiRMB,13.11,10.4561,12.8282,-0.139694,-0.979395,-0.145843
59,29,0.657614,0.222582,,13.3927,10.5746,12.6807,0.84609,0.263528,-0.463342
60,30,0.892981,0.424571,AcRMB,14.8793,12.043,10.5815,0.19407,-0.786467,-0.58635
61,30,0.989393,0.24932,,14.7059,12.5491,10.3816,-0.175158,0.313424,-0.933319
62,31,1.32157,0.785942,CaRMB,13.1054,14.0904,11.6335,-0.414053,-0.0690088,-0.907633
63,31,1.12533,0.450709,,13.1374,14.6011,12.0286,-0.429472,0.826599,-0.363714
64,32,0.23158,0.16225,,19.0836,12.3394,14.6512,-0.0397234,-0.157613,0.986702
65,32,0.36052,0.116733,,19.266,12.3804,14.518,0.986353,0.126484,-0.105403
66,33,0.42383,0.0829883,,18.6367,12.2436,14.4132,-0.150534,0.021707,0.988367
67,33,0.113052,0.09399,,18.6686,12.1843,14.1895,0,-0.967701,-0.252101
68,35,0.300013,0.0981443,,18.6777,13.4611,14.3038,0.364987,0.364653,0.856629
69,35,0.488128,0.0863428,,18.6047,13.6481,14.2038,-0.0747735,0.990316,0.116978
70,36,0.644607,0.206469,,19.8406,11.3088,13.0186,0.240612,-0.707408,0.66459
71,36,0.252311,0.267608,,19.8451,11.4729,12.733,0.650783,-0.506124,-0.565969
72,37,0.0181999,0.122968,,18.924,11.6827,12.7854,-1,0,0
73,37,0.8037,0.0843043,,18.8556,11.3134,12.6474,-0.192859,-0.919124,-0.343536
74,38,0.464793,0.107658,,19.5304,13.1966,13.1234,0.804444,0,0.594029
75,38,0.201947,0.134083,,19.4074,13.2285,12.9139,0.632348,0.316419,-0.707117
76,39,0.125999,0.104837,,19.0061,13.7849,13.1995,0.723813,0.65159,0.226991
77,39,0.508064,0.0731607,,18.8602,13.9627,13.2661,-0.395031,0.861702,0.318465
78,40,0.478545,0.119263,,18.5638,12.3576,10.4672,-0.362139,-0.571732,-0.736191
79,40,0.539213,0.132019,,18.6915,12.239,10.7196,0.152259,-0.947122,0.282449
80,41,0.627348,0.186659,,19.1702,12.8547,10.572,0.697696,0.712364,-0.0758761
81,41,1.08354,0.22121,,19.3253,12.3393,10.334,0.690142,-0.538696,-0.48323
82,42,0.133701,0.1144,,17.4328,12.1387,11.5097,0.614055,-0.546,0.569931
83,42,0.76779,0.0749409,,17.0908,12.0931,11.6953,-0.783938,-0.213861,0.582842
84,43,0.0263104,0.113707,,17.1638,12.3029,10.8528,0,-0.691738,-0.722149
85,43,0.464825,0.0948065,,16.945,12.3531,10.7957,-0.941641,0.176625,-0.286559
86,44,0.510631,0.114964,,17.8478,14.633,12.119,0.392847,0.482344,0.782953
87,44,0.418799,0.103361,,17.6381,14.6832,11.8762,-0.522682,0.827604,-0.204633
88,45,0.0562748,0.160375,,18.4223,14.706,11.5715,0.971996,0.163485,-0.168806
89,45,0.587422,0.10836,,18.4178,14.9841,11.5001,0.0776255,0.962681,-0.259268
90,46,0.160772,0.103802,,17.1046,14.7744,10.3244,-0.0566016,0.908117,0.414873
91,46,0.277955,0.0929455,,16.9951,14.7242,10.2149,-0.820279,0.164055,-0.54793
92,47,1.29463,0.281536,,17.7657,14.3731,10.0103,0.394474,0.845337,-0.360273
93,47,0.605588,0.513116,LMB,17.5606,13.8715,9.94839,0.165624,0.150597,-0.974623
94,48,0.570369,0.141575,,12.2162,12.6038,16.6505,0.239845,0.67167,0.700952
95,48,0.35095,0.241076,,12.1524,12.2481,16.5125,0.0259295,-0.935462,0.352475
96,49,0.505619,0.157084,,11.3498,12.2071,15.6033,-0.956056,-0.270561,0.11293
97,49,0.348478,0.194037,,11.5687,12.1205,15.4986,-0.130855,-0.889871,-0.437043
98,50,0.395452,0.084246,,11.359,13.2969,16.4125,-0.484258,-0.414967,0.770257
99,50,0.0161128,0.11077,,11.4502,13.3836,16.2554,-0.564825,0.570981,-0.59578
100,51,0.313809,0.0686208,,11.7785,13.7165,16.6076,-0.319621,0.116313,0.94038
101,51,0.0531988,0.0999075,,11.8423,13.721,16.4601,0.515049,0.857161,0
102,52,0.584394,0.0901521,,12.166,14.6102,15.4938,0.592923,0.24966,0.76558
103,52,0.304137,0.0993443,,11.8651,14.592,15.3319,-0.839753,0.359706,0.406726
104,53,0.50331,0.12497,,12.1022,14.706,14.6132,-0.181202,0.851561,-0.491944
105,53,0.221854,0.123434,,12.2436,14.5328,14.6989,0.86318,0.370063,-0.343472
106,54,0.0320489,0.149275,,10.5609,13.6709,14.8607,-0.571004,-0.56788,0.592846
107,54,0.432495,0.106635,,10.5245,13.8579,14.9655,-0.210869,0.822436,0.528331
108,55,0.57993,0.163757,,11.1765,13.4475,14.199,0.204335,-0.927871,-0.311935
109,55,0.0279053,0.342206,CrRMB,11.1082,13.7211,14.28,-0.655792,0.326102,-0.680877
110,56,0.337596,0.141061,,12.3622,11.8332,12.733,-0.621155,0.783182,0.0281388
111,56,0.714003,0.145519,,12.2071,11.5094,12.576,-0.728008,-0.536553,-0.426749
112,57,0.449353,0.0810425,,12.85,12.1023,12.4475,0.121732,0.974068,-0.190719
113,57,0.109057,0.122129,,12.8455,11.8697,12.4427,0.41814,-0.251246,-0.872946
114,58,0.846128,0.244024,,12.923,10.2144,13.1424,-0.431141,-0.495906,0.753787
115,58,0.566941,0.413968,MiRMB,13.1419,10.1597,12.7283,0.128761,-0.933078,-0.335837
116,59,0.151107,0.115559,,13.7347,10.6749,12.5664,0.844433,0.180666,0.504275
117,59,0.502499,0.11778,,13.8259,10.6932,12.3331,0.616916,0.126965,-0.77672
118,60,0.825343,0.2546,,14.7242,11.3726,10.2197,-0.585696,-0.773497,-0.242203
119,60,0.482352,0.388993,AcRMB,15.0982,11.514,10.2245,0.548354,-0.737221,-0.394732
120,61,0.50413,0.170737,,14.5373,12.6221,9.69613,-0.325511,-0.325709,-0.887669
121,61,0.243379,0.151135,,14.633,12.8228,9.89608,0.112582,0.974204,-0.195579
122,62,0.926342,0.487409,,12.6312,13.6709,10.8481,-0.43321,-0.807261,-0.400823
123,62,1.17289,0.629346,CaRMB,12.6175,14.1041,10.491,-0.365421,0.101117,-0.925334
124,63,0.463237,0.120388,,12.955,15.2258,11.9809,0.255808,0.689063,0.678053
125,63,0.374684,0.129708,,12.8638,15.1939,11.6906,-0.170544,0.68164,-0.711535
126,64,0.819889,0.130505,,19.193,12.0111,15.0083,0.278085,-0.756322,0.592154
127,64,0.548234,0.117691,,19.0517,12.4123,15.0226,-0.0997764,0.332704,0.937738
128,65,0.183417,0.0971447,,19.5168,12.4534,14.5228,0.795999,0.54684,0.259522
129,65,0.170681,0.0810255,,19.4757,12.3439,14.4466,0.374382,-0.694863,-0.614006
130,67,0.278035,0.0730064,,18.7006,11.9973,14.2038,0.229827,-0.951316,0.205371
131,67,0.369642,0.0572971,,18.5364,12.0612,14.0658,-0.715556,-0.370087,-0.592465
132,68,0.212953,0.0724536,,18.8282,13.5341,14.4751,0.899259,0.171399,0.402437
133,68,0.552673,0.082278,,18.6686,13.6207,14.6798,-0.23106,0.379609,0.895828
134,70,0.230481,0.170337,,19.991,11.0215,13.2994,0.633019,-0.514576,0.578359
135,70,0.567328,0.101671,,19.7266,10.9121,13.3565,-0.675271,-0.594718,0.436256
136,71,0.571281,0.219885,,20.0275,11.172,12.5378,0.35114,-0.830064,-0.433238
137,71,0.555439,0.165298,,20.1187,11.5778,12.5522,0.689544,0.607629,-0.394102
138,72,0.316834,0.0728363,,18.8967,11.628,12.933,-0.115199,-0.34529,0.931399
139,72,0.139009,0.096856,,18.8511,11.6964,12.7616,-0.918635,0.197109,-0.342428
140,74,0.368325,0.0713689,,19.7676,13.3015,13.4042,0.272588,0.569605,0.775401
141,74,0.23238,0.0962464,,19.8223,13.1556,13.2899,0.902833,-0.352869,0.245715
142,75,0.51526,0.104163,,19.6536,13.4155,12.7473,0.707991,0.601832,-0.369523
143,75,0.240567,0.0973679,,19.4621,13.224,12.7283,-0.0756623,-0.30345,-0.949839
144,76,0.329566,0.0793398,,19.1292,13.9216,13.3233,0.470312,0.581066,0.664206
145,76,0.398862,0.0606732,,19.1019,14.0174,13.19,0.251465,0.960481,-0.119341
146,78,0.507532,0.0745489,,18.4862,12.0339,10.1197,0.0358596,-0.736703,-0.675265
147,78,0.059358,0.1068,,18.4543,12.2208,10.2721,-0.768234,0,-0.640169
148,79,0.257636,0.0972553,,18.7599,12.0247,10.9147,0.212318,0.318666,0.923782
149,79,0.510879,0.092466,,18.7416,11.7329,10.7481,0.0356247,-0.981838,-0.186347
150,80,0.258829,0.171227,,19.4985,13.1465,10.5577,0.845733,0.528533,0.0734076
151,80,0.332652,0.0995136,,19.2933,13.1967,10.4815,-0.575676,0.712756,-0.400719
152,81,0.117641,0.209788,,19.7448,12.0156,10.0531,0.775237,-0.542325,-0.323868
153,81,0.427921,0.137852,,19.608,11.9928,9.88654,-0.426246,-0.255654,-0.86773
154,82,0.147856,0.0933263,,17.5149,12.125,11.6049,0.555269,0.308414,0.772371
155,82,0.436495,0.082079,,17.5149,11.8879,11.5525,0.188089,-0.981911,0.0217632
156,84,0.352051,0.0773677,,17.2322,12.1388,10.7957,0.388582,-0.88084,-0.270414
157,84,0.380192,0.0784082,,17.1182,12.2573,10.6624,-0.239879,-0.192008,-0.951625
158,85,0.111509,0.0833365,,16.6714,12.3896,10.7386,-0.981992,-0.0816074,0.17039
159,85,0.293796,0.0725499,,16.6395,12.426,10.6149,-0.58987,0.217157,-0.777751
160,86,0.280647,0.0897215,,17.8934,14.7698,12.4474,-0.389813,0.0972749,0.915742
161,86,0.339893,0.0834632,,18.0211,14.9021,12.3665,0.429553,0.858508,0.280087
162,87,0.240142,0.0796601,,17.4101,14.8565,11.8524,-0.987334,0,0.158657
163,87,0.105779,0.100831,,17.5286,14.8975,11.8,0,0.776143,-0.630557
164,88,0.0161103,0.159914,,18.4543,14.706,11.5715,0.571128,-0.571068,0.589656
165,88,0.300644,0.0798262,,18.4725,14.6695,11.424,0.151677,-0.27308,-0.949959
166,89,0.225141,0.0650123,,18.4771,15.3535,11.4859,0.324242,0.76974,0.54988
167,89,0.442688,0.060352,,18.3586,15.463,11.3621,-0.370687,0.885726,-0.27943
168,90,0.220359,0.081006,,17.1456,14.9477,10.3578,0.41387,0.910336,0
169,90,0.276319,0.0670443,,16.9951,14.8747,10.4434,-0.759269,0.197959,0.619938
170,91,0.465942,0.0582314,,16.6713,14.6512,10.1721,-0.900328,-0.410995,0.143151
171,91,0.357696,0.070246,,16.8309,14.8793,10.0293,-0.280405,0.739456,-0.612027
172,92,0.315139,0.137104,,18.1488,15.0115,9.79133,0.810442,0.578795,0.0904382
173,92,0.548525,0.13064,,17.9755,15.1437,9.62473,-0.166264,0.814731,-0.55549
174,93,0.671027,0.340837,,17.8022,13.7438,9.43908,0.570766,-0.516373,-0.638424
175,93,1.09704,0.432495,LMB,17.5241,14.0128,9.12018,-0.157971,0.174561,-0.971892
176,94,0.194123,0.106809,,12.2573,12.8319,16.9361,-0.281779,0.375538,0.882934
177,94,0.270822,0.0957743,,12.3804,12.8911,16.8504,0.707105,0.707109,0
178,95,0.292612,0.211276,,12.2025,11.9517,16.6172,0.311675,-0.903926,0.292876
179,95,0.356756,0.175661,,11.9973,12.0338,16.6362,-0.89473,-0.281144,0.347011
180,96,0.553511,0.102183,,10.9029,12.1432,15.8174,-0.741449,0.0164421,0.670808
181,96,0.295801,0.130937,,10.9713,12.1022,15.589,-0.924944,-0.246449,-0.289383
182,97,0.628942,0.200306,,11.4137,11.6918,15.3415,-0.420549,-0.870033,-0.257258
183,97,0.409527,0.125831,,11.6645,12.0338,15.2701,0.57896,0.334044,-0.743787
184,99,0.218052,0.0989563,,11.3407,13.411,16.2697,-0.962153,0.209124,0.174725
185,99,0.20402,0.0780563,,11.4273,13.3973,16.1507,-0.178904,0.0892066,-0.979814
186,101,0.338638,0.0756711,,11.9882,13.8442,16.4934,0.781068,0.592667,0.196667
187,101,0.36249,0.0666448,,11.7831,13.908,16.4839,-0.402494,0.905956,0.131313
188,103,0.407965,0.0657375,,11.6371,14.6695,15.57,-0.491708,0.111774,0.863556
189,103,0.101044,0.095849,,11.701,14.6786,15.3795,-0.721469,0.6324,-0.282052
190,104,0.460364,0.0941671,,11.897,15.0844,14.4656,-0.693363,0.713132,-0.103396
191,104,0.126624,0.12128,,12.0794,14.9476,14.437,0.360121,0.431994,-0.826858
192,105,0.356252,0.0851812,,12.3576,14.4689,14.518,0.102456,-0.588909,-0.801679
193,105,0.573744,0.0953524,,12.5582,14.7562,14.6941,0.763057,0.635822,0.116079
194,106,0.123874,0.121003,,10.5472,13.6071,14.8988,-0.0734613,-0.883961,0.461754
195,106,0.301645,0.117634,,10.4014,13.6572,14.8798,-0.997527,-0.0304997,0.06332
196,107,0.353787,0.0765106,,10.4469,14.0858,15.2463,-0.180617,0.283504,0.941808
197,107,0.164402,0.0799937,,10.4515,14.1132,15.0797,-0.33333,0.94281,0
198,108,0.21837,0.0605466,,11.2631,13.1237,14.199,0.250492,-0.500984,0.828414
199,108,0.0664422,0.0742471,,11.2175,13.1511,14.1038,-0.549349,-0.82327,-0.142975
200,109,0.492908,0.159981,,11.2267,13.5705,14.1277,0.518149,-0.629124,-0.579418
201,109,0.279125,0.34053,CrRMB,11.0078,13.7393,14.1658,-0.65347,0.0981639,-0.750561
202,110,0.269648,0.0901991,,12.2391,12.0019,12.8663,-0.135361,0.270723,0.953093
203,110,0.413043,0.102535,,12.1707,12.1296,12.6473,-0.41957,0.795075,-0.437968
204,111,0.388517,0.0837005,,11.9289,11.2495,12.6045,-0.0939468,-0.352107,0.931233
205,111,0.352916,0.137266,,11.8377,11.2221,12.3236,-0.620261,-0.542622,-0.566426
206,113,0.388709,0.0809161,,12.8136,11.742,12.2475,-0.281446,-0.586556,-0.759435
207,113,0.414819,0.0699473,,13.0598,11.9061,12.3332,0.923293,0.241792,-0.298442
208,114,0.622051,0.146139,,12.6904,9.71278,13.5565,-0.161241,-0.93825,0.306085
209,114,0.228744,0.161755,,12.6904,10.0867,13.5231,-0.438481,0.717837,0.540781
210,115,1.11509,0.369205,MiRMB,13.3517,9.37992,12.5093,0.310738,-0.924196,-0.222045
211,115,1.02457,0.245722,,12.85,9.58968,12.3855,-0.64095,-0.596385,-0.483226
212,116,0.226586,0.0642629,,13.876,10.6111,12.633,0.684507,-0.684065,0.252002
213,116,0.447865,0.0606522,,13.8851,10.8573,12.7235,0.386946,0.753576,0.531409
214,117,0.0279046,0.116383,,13.99,10.7296,12.1285,0.655808,0.32611,-0.680859
215,117,0.317555,0.0738992,,13.9171,10.6977,11.9952,-0.40182,-0.172253,-0.899372
216,118,0.307995,0.129872,,14.4278,11.0352,10.2626,-0.3552,-0.118183,0.92729
217,118,0.236799,0.190028,,14.4506,10.9577,10.0579,-0.269426,-0.808701,-0.522888
218,119,1.11049,0.33041,AcRMB,15.6316,10.9531,10.1055,0.722656,-0.689878,-0.0428639
219,119,1.05746,0.211201,,15.3991,11.2586,9.63424,0.319064,-0.146671,-0.936315
220,120,0.330765,0.117937,,14.3868,12.3895,9.46763,-0.413587,-0.910012,-0.02872
221,120,1.17063,0.193955,,14.3503,12.4671,8.90118,-0.179219,-0.124633,-0.975883
222,121,0.774061,0.0844361,,14.8063,13.2057,10.1055,0.412371,0.683278,0.602562
223,121,0.720921,0.0949307,,14.5965,13.0918,9.54858,-0.139127,0.417382,-0.898018
224,122,0.532784,0.217355,,12.5399,13.0553,10.6386,0.41086,-0.90731,-0.0893416
225,122,1.10791,0.29137,,12.0065,13.0234,10.4339,-0.765497,-0.493904,-0.4124
226,123,0.0623472,0.610958,,12.4078,14.1907,9.93413,0.145956,0.877344,-0.457127
227,123,1.00917,0.578495,CaRMB,12.2162,14.209,9.48193,-0.370503,0.0903713,-0.924424
228,124,0.652889,0.0713434,,12.8865,15.3672,12.4379,-0.391032,-0.055752,0.918687
229,124,0.216003,0.11488,,13.0872,15.4492,12.1856,0.675454,0.591196,0.440738
230,125,0.342319,0.0998567,,12.6631,15.3261,11.5287,-0.985632,0.0265833,-0.166802
231,125,0.25132,0.110109,,12.9094,15.39,11.4859,0.617141,0.544325,-0.568197
232,126,0.44823,0.0799779,,19.5213,11.6372,15.2653,0.956432,-0.284898,0.063806
233,126,0.277119,0.132634,,19.3116,11.6052,15.351,0.0332025,-0.691399,0.72171
234,127,0.273917,0.113771,,18.9605,12.5263,15.3986,-0.466196,0.166474,0.868877
235,127,0.214027,0.0729771,,19.0927,12.5764,15.3177,0.639175,0.681689,0.356028
236,128,0.288169,0.0730896,,19.7266,12.4625,14.5656,0.949443,-0.284902,0.131868
237,128,0.13093,0.0741468,,19.6034,12.5673,14.5514,0.208507,0.975326,0.0725542
238,134,0.665413,0.155218,,20.1233,10.675,13.5231,0.178236,-0.863373,0.472036
239,134,0.359311,0.122579,,20.1734,11.0534,13.4756,0.609224,0.507638,0.609221
240,136,0.665317,0.180401,,20.3285,10.6978,12.2951,0.603172,-0.712894,-0.357724
241,136,0.472156,0.130308,,19.9819,10.8163,12.2713,-0.618016,-0.502166,-0.604885
242,137,0.336913,0.102584,,20.4106,11.8378,12.5427,0.595705,0.541385,0.593327
243,137,0.103712,0.131112,,20.3285,11.7694,12.3999,0.351945,0.439679,-0.826327
244,139,0.26565,0.0642384,,18.6595,11.6873,12.7663,-0.961422,-0.171654,0.214946
245,139,0.225984,0.0553382,,18.769,11.8059,12.6806,-0.16152,0.847403,-0.505786
246,142,0.445022,0.0809727,,20.0367,13.5569,12.5569,0.901754,-0.06157,-0.427842
247,142,0.150081,0.10536,,19.8633,13.639,12.6378,0.364462,0.911512,-0.190562
248,147,0.309884,0.0734457,,18.3448,12.1296,10.1627,-0.559242,-0.58861,-0.583769
249,147,0.183855,0.0772516,,18.395,12.2983,10.2198,-0.397051,0.843053,-0.362785
250,149,0.364702,0.0617151,,18.769,11.3133,10.7671,0.100084,-0.925413,0.365506
251,149,0.202038,0.0613545,,18.6777,11.4137,10.6862,-0.722147,-0.677101,-0.141557
252,150,0.105271,0.163032,,19.6354,13.2285,10.61,0.51962,0.25933,0.81409
253,150,0.550489,0.138068,,19.7767,13.3654,10.4102,0.61291,0.546605,-0.570582
254,151,0.22512,0.0767311,,19.1383,13.3881,10.4768,-0.526826,0.648098,0.54993
255,151,0.126951,0.081209,,19.2021,13.3425,10.3578,0.0716811,0.430876,-0.89956
256,152,0.368524,0.137357,,19.8223,11.8605,10.1674,0.173125,-0.668341,0.723428
257,152,0.537489,0.226565,,20.0001,11.8879,9.89604,0.780482,-0.356286,-0.513721
258,153,0.158464,0.105088,,19.5213,11.8788,9.64853,0.057426,-0.748434,-0.660718
259,153,0.270865,0.0688295,,19.4712,12.0612,9.66758,-0.336699,0.908943,-0.245879
260,154,0.300825,0.063269,,17.5378,12.1706,11.8095,-0.12133,0.151583,0.98097
261,154,0.170583,0.0625552,,17.6381,12.1706,11.6667,0.961998,0.267318,0.0556942
262,155,0.206123,0.0679817,,17.556,11.6098,11.6382,0,-0.619533,0.784971
263,155,0.166988,0.0728583,,17.6016,11.6098,11.5287,0.546146,-0.764725,-0.341937
264,160,0.37145,0.0619863,,17.866,14.8154,12.7568,0.147263,0.172029,0.974022
265,160,0.0784197,0.073588,,17.8068,14.7607,12.5759,-0.813557,-0.581485,0
266,161,0.171389,0.0610557,,18.1488,15.0708,12.476,0.638313,0.266061,0.722335
267,161,0.093018,0.0826692,,18.085,15.0936,12.4141,-0.196747,0.980454,0
268,162,0.119522,0.0575016,,17.2824,14.8838,11.9239,-0.152273,0.457657,0.875993
269,162,0.193279,0.0673092,,17.2094,14.8382,11.8239,-0.849548,-0.188846,-0.49255
270,163,0.357698,0.0728934,,17.483,15.1073,11.7287,-0.254964,0.943256,-0.212748
271,163,0.0696652,0.0805879,,17.5332,14.9294,11.7334,0.130624,-0.262686,-0.955999
272,164,0.210589,0.123571,,18.5547,14.6923,11.6191,0.909351,-0.0864237,0.406953
273,164,0.701169,0.0968821,,18.7416,14.8108,11.4002,0.806367,0.312193,-0.502303
274,168,0.0562587,0.0780117,,17.2185,15.0435,10.3625,0.972275,-0.161752,0.168872
275,168,0.231683,0.0617197,,17.1729,15.162,10.3673,-0.157547,0.9841,0.0820087
276,172,0.298784,0.0957854,,18.2856,15.2213,9.89603,0.0609132,0.793547,0.605452
277,172,0.274798,0.116102,,18.4042,15.1301,9.76273,0.929041,0.199055,-0.311866
278,173,0.445374,0.0722433,,17.8113,15.5496,9.51998,-0.532358,0.819087,0.213754
279,173,0.0898976,0.11187,,17.9436,15.3991,9.44383,0.304802,0.709695,-0.63516
280,174,0.169456,0.239729,,18.0347,13.639,9.25343,0.484492,0.807296,0.336958
281,174,0.184462,0.26904,,18.0439,13.5569,9.14873,0.54429,-0.14854,-0.825642
282,175,0.797053,0.222366,,17.0772,14.2773,8.56328,-0.903956,0.423435,-0.0597197
283,175,0.538948,0.43722,LMB,17.4602,14.1405,8.32048,0.0846074,0.118564,-0.989335
284,176,0.223596,0.091736,,12.2482,12.8547,17.1312,0.163241,-0.122099,0.979002
285,176,0.208363,0.0897427,,12.1706,12.9322,17.0789,-0.5692,0.612873,0.548086
286,177,0.271421,0.0654469,,12.5947,12.9641,16.9123,0.87392,-0.168005,0.456113
287,177,0.402941,0.0619351,,12.5627,13.1648,16.8885,0.430088,0.882759,0.189106
288,178,0.307286,0.205246,,12.312,11.6827,16.6885,0.415574,-0.890376,0.185822
289,178,0.485828,0.119448,,12.3849,11.8377,16.4601,0.563162,0.0751295,-0.822924
290,179,0.252954,0.104827,,11.7602,11.9837,16.798,-0.612759,0,0.79027
291,179,0.65291,0.0900592,,11.5823,11.7831,16.7314,-0.782191,-0.614632,0.102006
292,180,0.185821,0.0711692,,10.6612,12.1752,16.0841,-0.392312,0.294903,0.871277
293,180,0.12277,0.0771809,,10.6703,12.2026,15.9983,-0.445547,0.891909,-0.0773766
294,181,0.503966,0.106467,,10.5883,12.0156,15.5652,-0.97705,-0.19922,0.0754021
295,181,0.103676,0.10999,,10.8163,12.0886,15.5033,-0.351091,0.439829,-0.826611
296,182,0.928581,0.108195,,11.0489,11.1355,15.5462,-0.500871,-0.608885,0.615132
297,182,0.441533,0.214867,,11.1993,11.2449,15.1511,-0.371659,-0.784764,-0.495999
