label,volume,mean,sigma,median,min,max,count,centroidX,centroidY,centroidZ,bboxXStart,bboxXEnd,bboxYStart,bboxYEnd,bboxZStart,bboxZEnd
1,11.9822,0.924581,0.901519,0.7225,0,117.367,14366400,19.5119,11.7563,6.29249,18.1022,21.6871,9.39744,13.469,4.39824,7.62552
2,11.149,1.02039,0.928796,0.8425,1.25485e-06,285.865,13367404,17.7278,12.554,10.0433,15.8933,19.7028,10.7453,13.6937,8.87264,11.186
3,10.0154,1.20493,3.24995,1.0425,2.72818e-07,1483.54,12008296,16.8227,8.50599,12.597,15.0696,18.2801,7.02,10.53,11.1194,15.0321
4,8.46113,1.07824,1.14397,0.8725,1.0274e-07,149.919,10144712,16.5225,10.9414,13.8317,15.107,18.2801,8.81712,12.6828,11.8048,15.6414
5,8.43107,1.04725,1.02286,0.8525,0,268.521,10108668,20.1634,10.6692,7.76965,18.2146,22.1364,8.46144,13.0572,6.70208,9.35816
6,8.1106,1.43238,1.06842,1.2725,2.4877e-08,217.443,9724432,19.321,8.42147,14.8806,17.0726,21.0506,7.41312,9.48168,13.6517,16.422
7,7.34687,0.758729,0.857157,0.5725,0,59.1241,8808740,20.2361,11.3127,4.72368,18.6264,22.0615,9.7344,12.9449,2.79888,6.88296
8,7.18723,0.949733,0.835258,0.7875,1.34223e-08,107.71,8617328,20.3992,6.76091,12.535,18.3082,22.099,5.4288,7.79688,10.7195,13.9658
9,7.10068,1.25679,0.906485,1.0425,0.00275037,100.622,8513564,17.7477,9.05687,10.4232,15.5938,18.9166,7.43184,10.4551,8.89168,11.9857
10,6.92233,0.845926,0.816029,0.6675,7.53407e-10,61.4724,8299728,16.7958,10.0725,5.95119,15.6686,18.5422,8.64864,11.7468,5.08368,6.94008
11,6.89843,1.47672,1.37085,1.2925,0,200.967,8271072,18.6872,5.15216,16.1883,17.0539,20.3393,2.73312,7.01064,15.0797,17.5834
12,6.8385,0.889489,0.771664,0.7475,2.11719e-12,177.305,8199212,16.7472,10.823,8.59723,15.4627,18.2239,9.02304,12.5143,7.48272,9.81512
13,6.70957,1.20045,1.16303,0.9875,4.65222e-09,191.129,8044632,20.6172,9.42514,9.46251,19.4314,22.2862,7.13232,11.2601,8.01584,11.4716
14,6.65859,1.27198,0.9494,1.1225,5.58138e-09,91.8682,7983504,19.2448,9.94135,13.4123,17.6342,21.2004,7.91856,11.7094,11.5954,15.489
15,6.63695,1.37826,0.907374,1.2125,0.0681094,95.4134,7957560,18.5906,8.00185,12.2089,17.2411,19.9087,6.58944,9.61272,10.5482,13.7374
16,6.27907,1.27469,1.06356,1.0925,5.99167e-09,210.225,7528472,19.8322,11.5601,10.8879,18.6638,21.6122,9.41616,13.3942,9.44384,12.2142
17,6.22992,0.639853,0.817996,0.4325,0,116.128,7469540,19.5109,11.7911,3.216,18.0274,21.5374,10.5955,13.0572,1.18048,4.55056
18,6.18979,1.17015,0.982603,0.9825,3.18691e-06,115.972,7421428,19.2745,12.0435,9.08121,18.0086,20.9383,10.2211,13.6188,7.3304,10.1959
19,5.98592,0.930448,0.936383,0.7175,3.43408e-08,149.762,7176984,17.7247,12.175,4.74846,16.043,19.4782,10.6142,13.3567,3.808,5.58824
20,5.94751,1.03187,0.894036,0.8575,5.05899e-06,81.5609,7130932,17.7391,12.3852,7.43973,15.8558,19.0663,10.6891,13.6562,6.24512,9.11064
21,5.94255,0.981172,0.918852,0.8225,8.34105e-08,190.523,7124992,17.0181,10.6275,15.9439,15.912,18.5422,9.06048,12.1961,14.299,17.4311
22,5.80263,3.29956,14.4023,1.6625,1.95846e-06,1493.32,6957232,17.6227,8.12063,16.0798,16.1366,19.7777,6.79536,9.65016,14.775,17.5834
23,5.6692,0.801604,0.748181,0.6475,7.12683e-08,210.876,6797248,17.1612,10.5379,7.07124,15.575,18.6545,8.68608,11.9714,6.22608,8.00632
24,5.48924,1.36065,0.990447,1.1775,1.51607e-05,104.279,6581480,19.3115,8.97173,10.1169,17.8589,20.5826,7.05744,10.4177,8.77744,11.7191
25,5.29932,1.36409,1.13167,1.1975,6.19133e-05,195.11,6353776,18.4928,12.2556,11.7104,17.3909,20.3393,10.1837,13.6562,10.7576,13.2042
26,5.29663,1.26738,1.30449,1.0525,2.48408e-11,218.518,6350544,16.901,7.26865,17.841,15.6312,18.2052,5.95296,8.71416,16.2792,18.9543
27,5.29221,1.0453,1.10673,0.8175,0,95.8708,6345240,21.6,8.34785,9.65951,20.2363,22.6606,7.00128,9.63144,8.33952,11.205
28,5.17627,0.906707,0.882526,0.7225,1.27869e-07,101.357,6206240,17.3073,12.2011,6.11804,15.6686,18.5796,10.5394,13.5065,5.31216,7.1876
29,4.93323,0.857152,0.924139,0.7275,1.10804e-14,102.035,5914840,20.0453,4.87041,13.9636,18.5515,21.3689,2.77056,6.80472,12.7949,14.9178
30,4.73845,1.5605,1.48049,1.3725,1.01319e-09,153.869,5681304,17.7263,5.79589,17.3992,16.1554,19.4782,3.9312,7.10424,16.2221,18.7639
31,4.6752,1.10698,6.29905,0.7025,3.77176e-08,1758.21,5605468,17.6142,11.3387,3.59387,16.043,19.4594,9.95904,13.0198,2.43712,4.4268
32,4.66994,0.886658,0.653903,0.7425,2.7775e-05,36.5983,5599160,16.4059,10.2102,9.7798,15.4253,17.887,8.892,11.9714,9.00592,11.3002
33,4.56899,1.08893,1.03986,0.9075,3.50868e-10,290.099,5478120,20.5533,7.85812,11.1826,19.1693,22.1364,6.38352,9.126,9.8056,12.5569
34,4.49539,1.41779,1.09404,1.2825,6.28255e-07,107.827,5389872,18.3202,9.77278,15.644,16.9603,20.0023,8.68608,11.8591,14.0134,17.1265
35,4.42609,1.71325,1.74254,1.5125,8.99883e-06,396.226,5306784,18.706,7.12407,15.8431,17.0352,20.3767,5.93424,8.0964,13.6707,17.3169
36,4.32073,1.10177,0.830177,0.9175,3.31452e-06,80.0364,5180456,18.7016,9.90292,8.54335,17.6342,19.7964,8.25552,11.0916,6.9496,9.87224
37,4.31351,1.27102,1.13279,1.0675,3.39468e-07,124.612,5171800,18.1556,11.8985,13.5952,16.7544,19.89,9.50976,13.1695,12.8139,14.3847
38,4.30861,0.919844,0.695576,0.7875,5.49819e-10,64.7814,5165932,16.4215,9.81318,7.86311,15.5938,18.0367,8.59248,10.9793,6.8544,9.22488
39,4.15057,1.21409,0.91129,1.0725,4.11654e-10,84.5352,4976440,20.3833,9.84643,12.5051,18.7949,21.762,8.64864,11.0542,11.5192,13.7754
40,4.13081,1.29925,1.10537,1.1025,1.32588e-07,162.164,4952752,19.6432,6.04527,14.4054,17.915,21.3127,5.03568,7.08552,12.8901,15.6985
41,4.10355,1.40881,1.09421,1.1525,0.0886051,110.038,4920064,18.4203,6.61132,13.7548,17.2411,19.6279,5.59728,8.07768,12.0142,15.2796
42,4.08064,1.16134,0.929072,1.0425,7.35181e-08,157.331,4892600,18.8243,10.3694,14.7707,17.447,20.3767,9.13536,11.7842,13.9944,15.9841
43,4.01334,1.59765,1.49926,1.3275,2.53966e-05,251.763,4811904,17.3417,7.61074,14.298,16.1554,18.5609,6.40224,8.82648,12.4331,15.3367
44,3.89251,1.22519,2.35462,0.9275,3.75048e-15,361.653,4667040,19.3505,4.71227,15.1891,18.0274,20.7511,2.95776,6.39288,14.5085,15.927
45,3.86348,0.905588,1.20601,0.7225,5.0624e-10,337.61,4632224,16.4036,9.08204,17.4551,15.5938,17.6249,7.75008,10.6423,16.2602,18.6878
46,3.67728,1.05692,1.05502,0.8525,6.05024e-07,155.233,4408976,20.5691,11.5945,9.16941,19.6373,21.9866,10.2211,13.3193,7.82544,10.0817
47,3.64832,0.626556,0.970164,0.4325,0,87.179,4374260,17.068,11.1,2.35095,15.9682,18.0554,9.80928,12.4582,0.952,3.34152
48,3.55312,0.763127,0.987142,0.5675,0,125.247,4260116,21.2473,11.1827,5.31162,20.4235,22.4734,9.80928,12.7577,3.92224,6.55928
49,3.52876,1.02947,1.02655,0.8275,4.40104e-13,48.1561,4230908,16.7842,10.3673,4.77023,15.781,18.5047,9.09792,11.5783,4.05552,5.45496
50,3.44614,1.02797,1.03168,0.8275,3.25006e-13,88.9399,4131844,20.8451,10.1186,7.50591,19.7122,22.2862,8.7048,11.2975,6.16896,8.806
51,3.42541,1.42117,1.25451,1.2125,9.08413e-08,152.025,4106992,17.2466,11.6038,12.2116,16.043,18.6358,9.56592,13.469,10.948,13.071
52,3.27698,1.12965,1.05441,0.9225,1.80292e-08,138.714,3929024,20.6097,10.7953,11.5805,18.8323,21.7994,9.56592,11.9714,10.7957,12.4426
53,3.26461,1.16894,0.982256,1.0125,2.02067e-08,159.675,3914200,20.7794,8.72975,12.023,19.5811,22.0241,7.41312,9.74376,11.1003,12.9567
54,3.26306,0.999041,0.938215,0.8025,4.18107e-07,128.683,3912340,18.7693,12.9157,7.83934,16.2302,20.0959,11.3256,13.6562,6.72112,8.95832
55,3.1858,1.28382,1.05179,1.1075,7.52415e-10,130.733,3819704,19.947,7.08607,14.5238,18.6077,21.3127,6.49584,7.96536,13.4803,15.6604
56,3.18526,1.30669,2.7506,1.0675,2.80626e-08,690.136,3819056,17.9411,11.4048,14.5951,17.2037,19.7028,8.94816,12.6828,13.9373,15.5652
57,3.18131,1.06238,4.87987,0.7375,2.26025e-06,956.534,3814320,16.7149,9.02952,13.8536,15.0696,18.1303,7.35696,10.4551,12.0142,15.3177
58,3.16821,0.667402,0.52547,0.5825,0.000559757,36.154,3798616,15.9936,9.9174,11.0939,15.1632,17.2505,8.87328,11.0542,10.2816,12.138
59,3.16389,0.967897,0.808766,0.8375,1.3782e-07,85.3215,3793432,19.3584,12.1036,12.5542,18.1584,20.7511,10.3709,13.3567,11.7286,13.6422
60,2.87328,1.09486,1.61581,0.7725,2.98505e-20,145.277,3445004,21.9949,9.04913,8.20134,20.9664,22.7354,7.91856,10.6049,7.0448,9.07256
61,2.81831,0.723786,1.52462,0.5225,2.66526e-05,405.567,3379088,16.1934,10.6267,12.0273,15.1819,16.9884,9.1728,11.6719,11.0622,12.8425
62,2.77331,1.06108,0.791678,0.9425,0.000534087,41.4724,3325136,16.8124,11.2095,10.5957,15.5002,18.1116,9.828,12.3458,9.25344,11.7762
63,2.75703,0.671945,0.714906,0.5375,0,49.561,3305624,20.9105,5.67582,12.3298,19.2067,22.0615,4.68,6.1308,10.7386,13.6422
64,2.7363,1.12931,1.07897,0.8975,4.91653e-13,119.502,3280760,21.373,9.45675,8.75817,20.3674,22.5857,7.99344,10.9231,7.69216,9.71992
65,2.72782,1.08462,0.781286,0.9675,2.81573e-06,76.9188,3270600,19.7262,11.0009,13.01,18.1022,21.0132,10.2398,11.8591,11.9952,14.3847
66,2.58208,1.10205,1.05038,0.9275,1.5183e-08,148.607,3095856,20.9959,9.61326,10.8113,19.787,22.099,8.6112,10.399,10.1293,11.681
67,2.52663,0.93204,1.15719,0.7225,0,107.695,3029380,22.0348,10.0645,7.19836,21.397,22.7354,8.7984,11.4847,6.05472,8.49184
68,2.4188,0.805406,0.738062,0.6775,3.59613e-08,78.8707,2900088,20.7002,8.00622,13.4639,18.7762,21.762,6.85152,8.95752,12.6045,14.2895
69,2.29084,0.846732,3.145,0.5575,0,761.584,2746664,18.6808,11.608,2.72288,17.8589,19.5718,10.5955,12.7202,1.18048,4.44584
70,2.26346,0.800432,0.776214,0.6375,1.53691e-05,97.3439,2713840,17.2822,12.8512,8.4544,16.043,18.486,11.5877,13.6937,7.67312,9.10112
71,2.25929,0.969744,0.954153,0.7825,8.72417e-09,95.6607,2708840,21.2751,7.5901,10.6823,20.124,22.4359,6.552,8.7516,9.74848,11.4906
72,2.19809,1.12289,1.04385,0.8625,0.000200201,98.0361,2635464,16.9657,12.4922,11.5369,16.043,17.7372,11.6626,13.6188,10.948,12.1761
73,2.1935,0.875037,0.809044,0.7075,5.38592e-07,59.8609,2629964,20.0925,12.4178,8.22552,18.72,21.5186,11.4192,13.4316,7.50176,8.74888
74,2.11545,0.940147,1.08843,0.7075,9.91731e-07,126.198,2536384,21.2151,10.6481,6.65253,20.1427,22.6606,9.36,11.8966,5.97856,7.24472
75,2.09804,1.0609,0.947821,0.8775,8.96339e-09,93.009,2515500,20.872,11.1009,10.3276,19.6373,21.9118,10.1837,12.1025,9.63424,11.0527
76,2.00145,1.56651,1.24763,1.3375,0.0166731,122.495,2399696,18.7074,10.7877,10.6536,17.7091,19.6466,10.0152,11.7468,9.65328,11.9286
77,1.88318,1.24169,0.845622,1.0825,0.0587222,91.1859,2257896,19.2239,7.36125,11.9393,17.5219,20.695,6.40224,9.126,10.2435,13.585
78,1.83653,0.745517,0.97446,0.5625,0,83.7461,2201964,21.699,7.11382,10.0912,20.3861,22.5482,6.28992,8.04024,9.19632,10.8623
79,1.81847,0.715985,1.00797,0.5325,0,126.553,2180312,21.877,10.6475,5.96912,20.6294,22.698,9.65952,12.0089,5.0456,6.57832
80,1.72702,0.980994,0.772433,0.8675,2.12688e-09,69.9033,2070664,20.4757,9.04075,13.631,19.4688,21.4999,8.3304,9.65016,12.6806,15.2986
81,1.65741,0.644522,0.842507,0.4825,0,55.8829,1987200,21.5955,6.25126,10.9401,20.2176,22.3236,5.01696,7.17912,10.0341,11.6049
82,1.63894,1.16657,0.992346,0.9625,1.74523e-06,62.2177,1965048,18.0292,12.6921,12.6224,16.7544,18.7481,11.5315,13.5065,12.0904,13.2614
83,1.55213,0.81129,0.83707,0.5975,2.23669e-07,71.6999,1860976,18.4921,10.9015,4.81449,17.5781,19.2722,10.1462,11.5409,4.1888,5.70248
84,1.52605,1.94149,2.4551,1.3575,0.0749792,266.828,1829696,16.6354,9.17043,16.1384,15.8371,17.4564,8.19936,10.4738,15.0606,17.1646
85,1.51878,0.950773,1.02321,0.7675,1.43122e-13,73.4206,1820984,16.5265,10.333,3.83495,15.8371,17.9618,9.47232,11.335,3.08448,4.31256
86,1.47144,0.590372,0.754456,0.4525,8.06155e-15,48.1824,1764224,20.798,5.05997,12.6442,19.319,21.7994,4.23072,5.88744,11.4811,13.4898
87,1.41152,0.943259,0.963325,0.7625,1.57632e-08,77.8674,1692384,21.1608,6.52927,11.5164,20.1989,22.1364,5.74704,7.32888,10.6624,12.1951
88,1.38158,1.62106,1.41481,1.4225,0.000126699,181.798,1656488,17.9899,7.6488,17.1111,16.8854,18.6919,6.87024,8.54568,16.3173,18.0023
89,1.33717,1.53244,1.54597,1.3425,3.85693e-09,254.253,1603240,18.7548,6.59453,16.8853,17.0539,19.89,5.78448,7.4412,16.2221,18.0023
90,1.29647,0.348491,0.548555,0.2375,0,50.631,1554440,18.2346,11.6157,1.77096,17.6904,18.8042,10.7453,12.4582,0.97104,2.40856
91,1.28287,1.14358,0.96421,0.9675,9.83673e-05,72.5933,1538136,17.3936,9.29993,17.1117,16.9229,18.018,8.12448,10.2679,16.3363,18.0023
92,1.27598,1.3894,1.21515,1.1775,0.00219531,71.3406,1529872,18.0217,9.78657,11.3723,16.6795,18.8604,9.09792,10.6236,9.8056,12.0999
93,1.26206,0.705644,0.476058,0.6875,1.70109e-05,244.626,1513188,18.0908,8.87874,8.78803,15.7061,19.553,8.08704,10.1369,7.34944,10.4054
94,1.24053,1.43357,1.09334,1.3025,0.0594262,229.373,1487368,18.4239,9.30367,12.9267,17.7653,19.759,7.91856,10.53,11.6715,14.042
95,1.23349,1.46345,1.10137,1.3275,1.63026e-07,74.6442,1478928,18.0774,9.03349,16.6638,17.316,19.3284,7.97472,9.85608,15.708,17.6596
96,1.21257,1.35258,0.840482,1.2025,0.00327752,40.9628,1453840,19.7966,8.00114,13.0146,18.7762,21.7994,7.28208,8.80776,12.4712,13.6993
97,0.73235,1.64203,1.06915,1.4775,0.191142,69.7633,878072,19.1769,10.141,10.7678,18.2894,20.0023,9.39744,10.7172,9.48192,11.8905
98,0.650954,0.597932,0.206766,0.6075,0.00626055,9.0585,780480,16.7842,9.01168,8.16377,15.7248,18.0554,8.66736,9.74376,6.96864,9.32008
99,0.574222,0.679884,0.229072,0.6825,0.0120203,7.09576,688480,18.4284,7.82504,10.3267,17.3534,19.5156,7.15104,8.35848,9.11064,11.5478
100,8.46521,2.0896,1.34612,1.9225,2.2151e-09,102.208,10149608,9.28163,8.02905,14.9818,7.69392,11.4286,6.7392,9.33192,13.5374,16.3839
101,6.91714,1.5755,1.04922,1.3725,2.24471e-06,108.176,8293504,8.88445,7.90005,12.9365,7.28208,11.1665,6.57072,9.01368,11.4811,13.9087
102,6.68695,1.95303,1.40332,1.7775,3.56476e-06,165.159,8017512,9.9239,9.78516,15.5129,8.44272,12.4207,7.54416,11.5409,14.1848,17.2407
103,6.38225,1.17918,0.966141,0.9825,3.05556e-21,111.515,7652176,8.66037,11.7016,10.2709,7.3944,10.2305,9.62208,13.2818,8.54896,11.643
104,5.21399,1.17024,0.983374,0.9525,0.000492885,70.2513,6251456,12.7736,11.2598,14.3094,11.2694,14.6484,9.28512,12.87,12.6235,15.2606
105,5.19854,1.41245,1.10427,1.2025,9.11104e-08,170.022,6232936,8.94986,10.7919,11.9439,7.24464,10.53,9.828,12.2522,10.5291,12.7663
106,5.1966,1.4273,1.04798,1.2775,2.10786e-08,66.3368,6230608,10.2367,12.0291,14.7782,8.96688,11.3162,10.8014,13.7686,13.4803,16.4791
107,4.70007,1.15039,0.886138,0.9725,7.73118e-24,40.5158,5635288,8.35789,6.67749,11.3147,7.31952,9.9684,4.97952,7.9092,9.6152,12.4807
108,4.67834,1.30156,0.99881,1.1025,2.80371e-05,123.514,5609224,8.46701,9.13471,11.2985,7.16976,10.0994,7.78752,10.2492,9.97696,12.157
109,4.66464,1.28165,0.915616,1.1325,2.33165e-12,81.1724,5592800,9.57064,5.31127,13.8178,8.03088,10.7359,3.21984,6.46776,12.6235,14.8607
110,4.65085,1.00256,0.835881,0.8375,4.37642e-17,41.9078,5576272,9.05521,5.46578,12.389,7.7688,10.399,3.38832,6.71112,10.8718,13.4327
111,4.48998,1.32815,0.959273,1.1275,0.00350268,47.4998,5383384,10.8439,7.45863,14.1308,9.1728,12.533,5.7096,9.05112,12.8139,15.8318
112,4.23739,1.38649,0.966804,1.2175,8.13649e-06,92.3137,5080536,9.59696,12.1614,12.3024,7.84368,11.2039,10.1088,13.3754,11.2336,13.6231
113,3.97786,1.29489,1.26103,1.0375,1.84164e-07,81.4378,4769368,11.273,5.05485,16.6329,9.56592,12.4207,3.59424,6.26184,15.708,17.831
114,3.95704,0.766536,0.686052,0.6225,0.000449783,65.5136,4744400,12.1305,8.48357,15.745,10.8763,13.3754,6.75792,9.5004,13.823,16.6695
115,3.92979,1.80716,1.17958,1.6075,5.45429e-07,48.1653,4711736,8.87276,10.2472,14.33,7.80624,10.3615,8.55504,11.4286,12.7758,15.2986
116,3.86191,1.82449,2.39298,1.5175,1.11427e-07,314.826,4630344,10.2115,6.60088,15.3626,8.48016,11.8778,5.39136,7.6284,14.5085,16.2126
117,3.67097,1.65004,1.1251,1.5575,1.34162e-09,53.8832,4401408,10.6838,10.5993,16.1829,9.4536,12.4207,9.6408,11.6532,14.1658,17.4311
118,3.64568,0.986899,0.871986,0.8225,1.80965e-07,63.7725,4371096,12.0095,7.69794,17.3177,10.9512,13.1321,6.75792,9.126,16.1269,18.4593
119,3.50225,1.39919,0.970905,1.2375,7.57134e-07,36.5363,4199128,9.12954,11.969,13.678,7.88112,10.5674,10.9512,13.207,12.5093,15.2606
120,3.45664,1.19676,1.17112,1.0425,3.65719e-07,112.306,4144432,12.055,10.0255,16.5834,11.0074,13.5065,9.11664,11.2601,14.6418,17.8881
121,3.43133,1.6062,1.19093,1.4125,0.0566429,175.052,4114088,9.65038,9.27687,12.2188,8.62992,10.9418,8.16192,10.2305,11.0432,13.8135
122,3.42436,1.17876,1.18388,0.9575,2.69052e-05,140.594,4105736,11.2851,12.5348,13.9163,10.0714,12.2897,10.8763,13.937,12.9282,15.7175
123,3.38366,1.04888,0.803685,0.8925,6.39132e-19,39.9749,4056932,8.05622,7.83961,10.3284,7.16976,9.27576,5.84064,8.8452,9.38672,11.4335
124,3.37619,0.874101,0.690587,0.7675,4.95721e-07,56.7661,4047976,11.0895,13.5207,12.2484,9.94032,12.2897,10.2773,14.7046,11.0432,13.6231
125,3.33338,1.78557,1.36291,1.5825,4.32282e-10,82.5086,3996648,10.437,7.1467,16.7774,9.00432,12.1399,6.40224,8.04024,15.5938,18.345
126,3.32646,0.820698,0.831398,0.6625,1.71047e-13,63.9798,3988348,10.3651,14.1884,10.5623,8.92944,12.1774,12.767,14.8169,8.8536,11.6239
127,3.25496,1.11231,0.909848,0.9775,6.65493e-05,125.481,3902632,13.1058,11.1029,15.5882,12.0744,14.873,9.94032,12.6454,14.9464,16.4601
128,3.09821,1.00388,2.01225,0.7775,0.000147607,476.102,3714688,11.6314,9.19345,13.7372,10.4458,13.1882,8.12448,10.193,12.6235,14.994
129,3.09356,1.55239,1.44919,1.4725,7.13695e-10,254.087,3709112,10.7909,9.24597,16.8453,9.00432,12.3084,8.6112,10.1369,15.1939,17.9642
130,3.08144,1.5024,1.10839,1.4025,5.21475e-06,80.283,3694576,11.5217,11.4367,15.7218,10.1088,12.2148,10.1462,12.87,14.9274,16.9932
131,2.88645,0.954227,0.859381,0.7825,4.00662e-20,64.0367,3460792,9.27942,12.9592,10.0294,8.03088,10.2305,9.77184,14.2553,8.8536,10.9575
132,2.84999,1.54327,1.27504,1.2675,6.24038e-11,62.5805,3417080,10.8641,6.21008,16.5296,9.22896,12.2335,5.46624,7.0668,15.708,17.9262
133,2.69535,1.82994,1.32858,1.7125,1.61226e-09,77.8519,3231672,10.2978,8.16254,16.6321,8.96688,11.5222,7.3008,8.8452,15.4224,17.8881
134,2.64079,1.56713,1.12425,1.3775,5.37463e-09,56.9962,3166248,10.0335,5.4638,15.2471,8.7048,11.2975,4.71744,6.0372,14.299,16.1935
135,2.63528,1.28267,1.11681,1.0575,0.0252997,241.021,3159648,10.8869,10.7337,12.7134,9.71568,12.0838,9.60336,11.8778,11.8619,14.061
136,2.62411,0.812891,0.72024,0.6625,6.10686e-07,37.7145,3146248,10.4186,13.6449,13.3772,9.00432,11.7281,11.9808,14.5548,12.395,14.3466
137,2.60985,1.02185,1.16316,0.7925,1.26076e-20,47.3299,3129152,8.09007,11.0518,9.21729,7.16976,10.3054,9.67824,14.5174,7.8064,10.1388
138,2.59885,1.35301,0.900588,1.1775,1.6717e-07,48.318,3115960,8.91881,6.81625,12.6196,7.46928,10.4738,6.04656,8.05896,11.5002,13.5279
139,2.4948,1.74417,1.00958,1.6075,2.76126e-05,46.1315,2991208,9.1888,11.0829,13.1945,7.5816,10.661,10.0714,11.9153,12.395,14.1182
140,2.47723,1.0616,0.789276,0.8875,5.32584e-10,23.5325,2970144,7.80716,9.48288,9.523,7.09488,9.10728,8.68608,10.2492,8.54896,10.253
141,2.44407,1.25149,0.905578,1.0675,4.39432e-07,34.4954,2930392,9.78815,13.601,11.9331,8.21808,10.8108,12.1493,14.7046,11.0051,12.7663
142,2.35793,1.13409,0.901332,0.9375,2.71999e-08,49.9188,2827104,9.13204,12.9239,11.0777,7.88112,10.4177,11.9059,14.1804,10.5482,11.8524
143,2.28682,1.19246,0.918174,1.0425,2.18128e-08,40.3318,2741848,11.9043,8.78488,17.3295,10.8202,13.1134,7.93728,9.65016,16.4315,18.1166
144,2.25627,1.70663,1.05132,1.5525,9.43145e-08,89.3578,2705224,9.25726,6.58224,14.0422,7.91856,10.6798,5.97168,7.31016,12.9472,14.975
145,2.14316,1.46049,0.976494,1.2575,0.00617635,40.5061,2569600,11.0306,8.67291,14.6628,9.75312,12.0276,7.60032,9.81864,13.9373,15.6414
146,2.12973,1.5329,0.987117,1.3475,0.000301025,33.6904,2553496,7.98273,9.4584,12.2476,7.2072,9.27576,8.40528,10.2679,11.5192,13.0138
147,2.10866,1.29219,0.86006,1.1125,8.6731e-05,69.3215,2528232,10.0309,12.8482,12.9436,8.5176,11.3911,11.8498,13.7311,12.1285,14.1753
148,1.97366,1.50748,1.08178,1.3575,9.2204e-05,53.5024,2366376,11.7144,12.2477,14.5487,10.5206,12.5518,11.1758,13.4316,12.9472,15.7937
149,1.93547,1.02573,1.081,0.8025,2.9361e-08,115.029,2320584,11.7157,6.10531,17.7775,10.8389,12.4769,4.90464,7.04808,16.4886,18.4593
150,1.86718,2.15926,1.70196,1.9425,0.229069,247.132,2238712,9.62576,9.82463,13.4742,8.92944,10.5862,8.48016,10.998,12.3379,14.5942
151,1.79498,1.71769,1.01864,1.5675,8.97991e-07,61.3223,2152144,8.3509,8.99549,13.6354,7.43184,9.91224,8.29296,9.594,12.7949,14.4038
152,1.76206,1.79171,1.25565,1.5675,0.131843,75.7792,2112672,11.0563,10.7246,14.3919,10.296,11.9902,9.71568,11.803,13.3851,15.0702
153,1.58727,1.09443,3.36067,0.7875,7.30412e-06,405.419,1903104,13.5102,10.521,14.8409,12.1118,14.873,9.32256,11.1665,13.823,15.8698
154,1.52171,1.13077,0.75825,0.9625,4.25806e-06,70.2731,1824496,8.22036,9.4423,10.4313,7.16976,9.53784,8.7984,10.1182,9.9008,10.8623
155,1.51136,1.19882,1.11715,0.9725,7.39282e-07,135.493,1812088,8.30106,10.6024,10.2972,7.16976,9.594,9.69696,11.335,9.67232,10.8242
156,1.47674,1.90715,2.71239,1.6125,0.0706771,341.4,1770584,10.192,9.32027,13.9518,9.60336,11.0542,8.16192,10.7734,13.0234,14.5942
157,1.43481,1.81827,1.18188,1.6175,3.50387e-05,30.6729,1720304,8.28919,9.99419,13.1656,7.43184,9.16344,9.19152,10.6049,12.6045,14.0039
158,1.39702,1.30161,0.985514,1.1425,0.0360164,195.519,1675000,10.5394,8.66341,13.0769,9.7344,11.4286,7.6752,9.79992,12.395,13.9468
159,1.33648,1.29369,0.974231,1.1075,1.18836e-07,61.7188,1602416,8.44352,11.6745,11.4983,7.3944,9.94968,10.0714,12.4582,11.1384,11.9095
160,1.32619,0.839218,1.02582,0.6275,5.23556e-20,22.7766,1590076,7.67707,8.05851,9.24105,7.02,8.69544,6.10272,8.99496,8.03488,9.81512
161,1.24667,1.01837,0.61605,0.8575,0.00603624,14.9327,1494728,10.2179,12.0615,11.4616,9.56592,11.0167,10.296,13.0946,10.5862,12.119
162,1.23059,1.51567,1.09709,1.2425,0.0369524,68.2042,1475448,11.3823,10.4033,13.619,10.5019,12.3833,9.52848,11.466,12.6235,14.537
163,1.2262,1.04602,0.701024,0.8625,0.0179351,33.629,1470184,11.8954,11.0091,13.2443,10.5581,12.9074,9.58464,13.2818,12.5474,14.3847
164,1.15578,0.686754,0.452923,0.6775,0.0346991,107.706,1385752,10.8961,9.36594,12.2317,9.62208,12.0838,7.88112,10.7734,10.6053,13.4327
165,1.13644,1.22307,0.946176,1.0225,3.5753e-06,49.2997,1362568,7.91957,10.7092,11.0094,7.16976,9.23832,10.0901,11.4098,10.453,11.5478
166,1.07313,1.3007,1.02548,1.1825,9.90115e-07,18.3114,1286664,10.5372,4.55882,15.3475,9.2664,11.5596,3.25728,5.81256,14.299,16.0222
167,1.04,1.19192,0.904829,1.0175,6.64005e-07,83.139,1246936,7.917,8.18949,11.1779,7.16976,9.2196,7.3944,8.80776,10.7766,11.662
168,0.942589,1.21325,1.78615,0.9475,1.62816e-14,104.053,1130144,10.2078,4.18453,14.6267,9.2664,10.8482,3.14496,5.73768,13.8992,15.3177
169,0.84929,1.75457,1.58587,1.4975,6.98971e-07,70.4722,1018280,11.2356,6.55313,17.3176,10.4645,12.4207,5.616,7.01064,16.4886,18.307
170,0.798433,0.905929,2.8127,0.6525,2.38353e-06,350.299,957304,12.9519,9.44574,17.1945,12.037,13.6937,8.34912,10.5674,14.6037,17.9833
